ts,server_id,cpu_pct,mem_pct,net_in,net_out,disk_io
20:53:00,server_1,63.34,78.13,639.72,587.54,93.04
20:53:00,server_20,55.23,52.3,4182.34,5014.95,1069.67
20:53:00,server_19,64.54,61.57,1769.92,1870.17,1699.51
20:53:00,server_18,68.76,77.46,717.25,1060.69,147.05
20:53:00,server_17,52.29,50.24,2662.13,3122.83,1782.6
20:53:00,server_16,59.02,32.62,5539.29,5963.9,35.85
20:53:00,server_14,18.54,89.83,207.17,260.36,23.76
20:53:00,server_13,41.5,65.62,1925.83,1867.38,1714.29
20:53:00,server_12,23.95,92.98,279.94,280.6,78.8
20:53:00,server_11,86.73,92.79,868.75,1004.08,72.51
20:53:00,server_15,42.87,44.51,157.11,153.2,9223.52
20:53:00,server_9,40.27,53.01,418.92,473.14,35.74
20:53:00,server_8,59.44,49.55,1811.54,1985.92,1543.19
20:53:00,server_7,24.63,37.1,226.62,320.64,0.0
20:53:00,server_6,50.19,51.12,516.77,570.02,181.54
20:53:00,server_5,92.19,85.51,904.28,474.54,173.3
20:53:00,server_4,27.57,41.33,258.48,260.2,5.45
20:53:00,server_3,67.94,62.44,558.55,831.31,103.98
20:53:00,server_2,82.64,12.77,808.26,468.7,45.57
20:53:00,server_10,97.97,92.51,1002.13,1175.94,225.25
20:53:05,server_13,55.94,62.26,578.6,706.85,14.15
20:53:05,server_14,44.46,27.88,61.82,72.08,9471.5
20:53:05,server_15,22.9,23.86,235.08,258.19,0.0
20:53:05,server_16,97.71,81.67,1005.09,862.44,101.69
20:53:05,server_20,65.63,72.51,635.57,672.82,0.0
20:53:05,server_18,96.82,91.67,958.56,981.67,114.91
20:53:05,server_19,57.23,48.9,19397.19,19723.05,181.91
20:53:05,server_12,92.57,25.51,948.67,489.51,0.0
20:53:05,server_17,0.8,98.51,31.26,43.59,72.92
20:53:05,server_11,91.59,82.9,953.09,1087.36,70.18
20:53:05,server_5,26.28,30.89,295.47,254.69,100.87
20:53:05,server_9,25.97,34.88,330.39,402.22,0.0
20:53:05,server_10,47.77,69.61,2908.54,2388.5,1539.37
20:53:05,server_2,13.47,93.86,108.73,75.24,93.92
20:53:05,server_3,58.13,59.89,14444.67,16290.0,145.56
20:53:05,server_4,28.72,32.78,163.23,203.64,36.74
20:53:05,server_1,89.86,85.23,874.52,1198.63,182.83
20:53:05,server_6,25.05,17.74,306.08,272.65,42.97
